,Tweets,len,ID
0,Estonian service lets you email random Russians to inform them about the war in Ukraine https://t.co/y1FCFWmNym via @estonianworld #Ukraine #Russianinvasion #Russia,164,1509307246668398597
1,"RT @MeseretGerziher: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307246471266312
2,"@mfa_russia @RussiaUN @RusEmbUSA @mission_russian @RusEmbIndia @EmbassyofRussia @RussianEmbassy @Amb_Ulyanov @A__Alimov @Dpol_un @AmbRus_India How about you stop your murderous, unprovoked invasion of Ukraine, withdraw all your troops, pay reparations to the millions you've victimized, and send Putin and his cronies to the Hague to face War Crimes charges like he so richly deserves.  And meanwhile you should STFU.",417,1509307245451956234
3,"RT @Alemmez: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most leth…",140,1509307237747019778
4,"Ukraine war: Russia, China look to develop closer ties in the face of ‘illegal’ Western sanctions https://t.co/5GuzEZwGjF",121,1509307236077559810
5,"RT @g_akberet: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307236035985411
6,"The market was influenced another day by the Ukraine/Russia war, with corn heading higher and cattle futures downward in response. There was finally some cash trade today, although prices were steady with a week earlier. https://t.co/xgcmtU4iLd",244,1509307231564664837
7,Russia-Ukraine war latest: GCHQ head says some Russian soldiers ‘refusing to carry out orders’; Putin ‘misled over Russian military performance’ – live https://t.co/lfsnBOenMb,175,1509307228838322186
8,RT @AP: Germany is triggering an early warning level for gas supplies amid Russia’s continued demand to be paid in rubles after launching t…,140,1509307227630407693
9,RT @haynesdeborah: Here is the full article on the speech that the Director of @GCHQ Sir Jeremy Fleming is set to deliver in Australia. A r…,140,1509307226736967687
10,"RT @nbahhanbahob: #Poltava region farmers have ""supplied"" the police with 11 tanks, 2 armored vehicles, 33 firearms and 4,200 pieces of mun…",140,1509307225302605836
11,"RT @KibatTigraweyti: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307218499416064
12,"RT @olgatokariuk: Majority of Russians approve Putin's actions, meaning that they support the war Russia is waging on Ukraine",125,1509307211402690564
13,"RT @meridesta5: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most l…",140,1509307208705757184
14,"RT @DominicFarrell: 2138hrs, off to bed to read a book. I think Johnson/UK is outperforming. Putin is on the back foot, Russian Army decima…",140,1509307192347926530
15,"RT @Nlale1238: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307178104074246
16,RT @KateStone__: I'm Russian. I'm scared of what our president does. All my dreams about life fade as long as war escolates. No one ever as…,140,1509307172634566663
17,"RT @Letina48761459: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mo…",140,1509307171850567684
18,"https://t.co/fisbIY2Uqt Ukraine war is a windfall for Russia in price hikes of commodities:oil,coal, diamond,sunoil,etc. Russia gains daily from Ukraine war while USA&amp;West dream of a nightmare. India,China,etc capitalize on Russia's abundance of all: oil,coal,sunoil,diamond etc.",283,1509307166825586688
19,"RT @shewitdzc3: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most l…",140,1509307164594216971
20,"RT @NetsiGual: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307164246032393
21,"RT @FasilAbebe2: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most…",139,1509307161985576961
22,"RT @Hromadske: Russia's war against Ukraine did not begin on February 24, 2022 — it’s the date of the full-scale invasion, but not the war…",139,1509307161670983681
23,"RT @haki_ti: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most leth…",140,1509307159900823552
24,"RT @kees92267188: @robdewijk @thierrybaudet Zelensky's adviser Arestovich spoke about this in 2019:

""Our price for joining NATO is a big w…",140,1509307159628197895
25,"Putin likened to Hitler as he attacks Red Cross building in 'one of worst crimes of war'

https://t.co/XLp6PMozOq",113,1509307156520185859
26,"RT @mukeshkapila: Civilians in both #Tigray and #Ukraine  have been turned just  into ""pawns of war""  by #Ethiopia and #Russia forces respe…",140,1509307151826796545
27,"RT @Nohelema: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509307151121932289
28,"RT @kahsay22: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509307149104652294
29,"RT @markomihkelson: BREAKING: 83% of Russians asked by Levada Center support aggression against Ukraine. This is not Putin's War, this is R…",140,1509307148353904646
30,RT @MeidasTouch: Kremlin File producer @jackabryan takes Olga and Mo inside Russia's recently launched troll farm that is being used to sow…,140,1509307127097135107
31,"RT @MENTSEGEBAGEBR3: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307123892887552
32,"RT @Shayan86: It's day 36 of Russia-Ukraine war.

This document posted by a major Anonymous account claims to show a Russian order to film…",139,1509307122592354304
33,@CNN @wolfblitzer Putin the war criminal gave the same lies before his invasion of a democratic country. Harder sanctions on Russia and more arms to Ukraine #WeStandWithUkraine,176,1509307119979593728
34,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307118536454146
35,https://t.co/j5prmHjA7M,23,1509307117684940804
36,"RT @nytimes: Intense strikes continued overnight Wednesday on the northern Ukrainian city of Chernihiv, the region’s governor said, hours a…",140,1509307117156679688
37,"RT @HaileZafu: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307111901220868
38,"#Ukraine #war: Without #Russia, world #science goes solo https://t.co/U0dvx25hfe",80,1509307111527780353
39,RT @MeidasTouch: Kremlin File producer @jackabryan takes Olga and Mo inside Russia's recently launched troll farm that is being used to sow…,140,1509307111104208898
40,"RT @NPR: As Wednesday draws to a close in Kyiv and in Moscow, here are the key developments of the day: https://t.co/uvLDGjQwOO https://t.c…",140,1509307108969361411
41,RT @haynesdeborah: Here is the full article on the speech that the Director of @GCHQ Sir Jeremy Fleming is set to deliver in Australia. A r…,140,1509307108147273737
42,"RT @erbmjha: ""MODI incited war between Ukraine &amp; Russia "" 

And Le Li gang see her as PM candidate in 2024 😂😂 https://t.co/YvRotpunQu",137,1509307105576353794
43,"Nearly half of Ukraine's territory has been contaminated by explosives as part of Russia's war against its neighbour, a senior Kyiv official said Wednesday, according to a local media report. https://t.co/nk8VASzTZQ",215,1509307100140290053
44,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307098659758082
45,"RT @adamblenford: These were Russia's 20 richest men before the invasion of Ukraine 🇺🇦. Half of them have been sanctioned, but only one of…",139,1509307098286501893
46,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307098273878037
47,RT @Sky_Lee_1: Putin’s plan is to completely destroy the Ukrainians and Ukraine. When Russia is losing on the battlefield they chose to def…,140,1509307094134108172
48,"RT @JournoJane: Animals are threatened by starvation as shelling wrecks deliveries of meat to zoo animals, and the lives of staff have been…",140,1509307089151221760
49,"▪️I spoke today with the President of Egypt and the Crown Prince of the United Arab Emirates.
https://t.co/CHM39K4UPg
#RussianUkrainianWar #UkraineRussiaWar #RussianArmy #Ukraine #Russia #RussianWarCrimes #Russians",214,1509307088396341253
50,"RT @Tmgneff: Rattling Windows, Rattling Bones: Life Under Siege on Ukraine’s Front Lines. Natalia Yermak ⁦@TylerHicksPhoto⁩  https://t.co/X…",140,1509307084889751552
51,Russia-Ukraine war: What happened today (March 30) https://t.co/3YUftsXr6M,74,1509307076165701636
52,"RT @RnaudBertrand: Wow, this WaPo story seems to confirm that the Ukrainian army is deliberately putting civilians at risk, which is a viol…",140,1509307074982944771
53,"RT @SethGJones: If the US can ramp up—and sustain—military assistance to Ukraine for the long term, Moscow may eventually lose the war—a vi…",140,1509307069656145924
54,RT @cicerobevin: @cnni The peace deal seems very close to the Minsk accords. Which begs the question why didn’t Ukraine just agree to Russi…,140,1509307067370459137
55,RT @Cernovich: Big wake up call for me was seeing members of Congress prove that that national security advisers know less about the Ukrain…,140,1509307067068297223
56,"RT @Lkatzenberg: .@Tmgneff on the ground in Ukraine: The war never stops in Huliaipole, a town on the front lines in the east. Most residen…",140,1509307055839977472
57,"RT @anneapplebaum: A 21st century version of a 20th century crime: Hundreds of thousands of Poles, Balts and others were forcibly deported…",139,1509307048667791360
58,"RT @garci32: Ukraine Seeks $565B From Russia for War: 'Evil Will Inevitably Be Punished'
https://t.co/kcCZdX7PX1
Does that include the loss…",140,1509307044762775556
59,RT @pottedplant57: @ZelenskyyUa @Peston @BorisJohnson @POTUS @bbclaurak @TimesRadio #EU #Nato @Keir_Starmer @RohitKachrooitv more weapons &amp;…,144,1509307040983826433
60,RT @haynesdeborah: Here is the full article on the speech that the Director of @GCHQ Sir Jeremy Fleming is set to deliver in Australia. A r…,140,1509307038706417665
61,"Russia and Ukraine planned for two entirely different engagements. Ukraine was closer to the operational reality of this war. The friction bares this out.

Regardless, Ukrainians have paid the cost of Putin's calculations. https://t.co/or62R6zxWo",246,1509307036458119169
62,"RT @mebrahtuZtigray: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307035829272576
63,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307032960212993
64,"RT @asfawmiki5: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most l…",140,1509307030951051270
65,"RT @Nlale1238: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509307030036750343
66,"""Before the Ukraine war, Germany imported 55 per cent of its natural gas from Russia, half its coal and around 35 per cent of its oil."" https://t.co/kkpASe2VgW",159,1509307027822202880
67,"RT @Dezdemo47519262: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307024139591682
68,"RT @markomihkelson: BREAKING: 83% of Russians asked by Levada Center support aggression against Ukraine. This is not Putin's War, this is R…",140,1509307022860328967
69,"RT @MekalleT: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509307016611008512
70,"RT @MahletCapu: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most l…",140,1509307013246984194
71,"RT @KibromZebrehe: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509307010415747076
72,"RT @JournoJane: Animals are threatened by starvation as shelling wrecks deliveries of meat to zoo animals, and the lives of staff have been…",140,1509307009509830658
73,"RT @eMTN9NznbuL7xEu: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307006049746945
74,"RT @SendelYonas: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most…",139,1509307004434722822
75,"@ZelenskyyUa @Peston @BorisJohnson @POTUS @bbclaurak @TimesRadio #EU #Nato @Keir_Starmer @RohitKachrooitv more weapons &amp; military men forward into Ukraine. Putin can’t be trusted. How can India, China &amp; some EU countries still buying oil from Russia which funds the war against UA",288,1509307003801411595
76,"RT @ulrichspeck: Most importantly, the West must do everything to arm and train Ukraine's military; namely once this war is over. The more…",139,1509307000009764874
77,"When the same awful thing happens often enough, it ceases to be newsworthy – and that is a big problem   https://t.co/xLHmePXA6x",128,1509306995802738695
78,Can’t say there’s something promising: Kremlin after negotiations with Ukraine https://t.co/YjcTUhz7Uv,102,1509306991147028481
79,"Norway has strongly supported Ukraine. He called for even more help - weapons, sanctions against Russia.
https://t.co/CHM39K4UPg
#RussianUkrainianWar #UkraineRussiaWar #RussianArmy #Ukraine #Russia #RussianWarCrimes #Russians",225,1509306989058433032
80,"The US Under Secretary of State for Civil Security, Democracy, and Human Rights, Ezra Zia, discussed with a number of Emirati officials the importance of building a strong international response to support #Ukraine in the wake of #Russia's illegal and unjustified war against it.",279,1509306988919934977
81,"RT @ILoveTi33775235: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509306987015806983
82,"RT @business: One month after the invasion of Ukraine, Russia is now the most sanctioned country in the world.

Despite that, half of Russi…",140,1509306975791849473
83,RT @MeidasTouch: Kremlin File producer @jackabryan takes Olga and Mo inside Russia's recently launched troll farm that is being used to sow…,140,1509306973203935235
84,"RT @meronawit_Axum: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mo…",140,1509306959941767170
85,"RT @NPR: As Wednesday draws to a close in Kyiv and in Moscow, here are the key developments of the day: https://t.co/uvLDGjQwOO https://t.c…",140,1509306957055897604
86,"RT @KingoTDF: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509306956271525891
87,"RT @KibromZebrehe: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509306954119852040
88,"Ukraine war: Russia, China look to develop closer ties in face of 'illegal' Western sanctions https://t.co/rgHA1TVLsF",117,1509306952333115405
89,RT @BSBonner: Thousands killed. Thousands wounded. $500 billion in damages. Cities ruined. 10 million Ukrainians are displaced/living abroa…,140,1509306951896809472
90,RT @nytimesworld: The United Nations top human rights body on Wednesday appointed a commission to investigate accusations of war crimes and…,140,1509306943873032196
91,RT @snlyngaas: NEW and exclusive: The story of a Ukrainian man who sought to avenge the war by leaking a trove of embarrassing documents on…,140,1509306941616578564
92,"RT @HarunKarcic: Here is my piece for @ForeignPolicy on Putin's proxies in the Balkans.

Many thanks 🙏 @jenn_ruth

Moscow is creating a pre…",140,1509306938911297541
93,"RT @Yordanos_Alex: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509306933530234882
94,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509306927674802182
95,"Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege @vickyford @SenatorRounds",269,1509306924415782914
96,"RT @KokebTigray: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most…",139,1509306920896708616
97,"RT @SergiyKyslytsya: Russian attacks with cluster munitions ""may amount to war crimes,"" UN says:  UN Human Rights Monitoring Mission in Ukr…",140,1509306919495909376
98,"RT @KingoTDF: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509306917595881472
99,"RT @SergiyKyslytsya: Russian attacks with cluster munitions ""may amount to war crimes,"" UN says:  UN Human Rights Monitoring Mission in Ukr…",140,1509306916870123526
